year,week,loc,state,country,loc_type,number,event
1914,17,WILMINGTON,NC,US,CITY,1,CASES
1916,35,WILMINGTON,NC,US,CITY,1,CASES
1916,37,WILMINGTON,NC,US,CITY,1,CASES
1922,30,WILMINGTON,NC,US,CITY,1,CASES
1922,37,WILMINGTON,NC,US,CITY,1,CASES
1922,38,WILMINGTON,NC,US,CITY,1,CASES
1922,47,WILMINGTON,NC,US,CITY,1,CASES
1925,8,WILMINGTON,NC,US,CITY,0,CASES
1925,21,WILMINGTON,NC,US,CITY,0,CASES
1926,18,WILMINGTON,NC,US,CITY,0,CASES
1926,26,WILMINGTON,NC,US,CITY,0,CASES
1926,30,WILMINGTON,NC,US,CITY,0,CASES
1926,31,WILMINGTON,NC,US,CITY,1,CASES
1926,34,WILMINGTON,NC,US,CITY,1,CASES
1926,35,WILMINGTON,NC,US,CITY,0,CASES
1926,38,WILMINGTON,NC,US,CITY,0,CASES
1926,39,WILMINGTON,NC,US,CITY,1,CASES
1926,48,WILMINGTON,NC,US,CITY,0,CASES
1926,49,WILMINGTON,NC,US,CITY,0,CASES
1927,5,WILMINGTON,NC,US,CITY,0,CASES
1927,26,WILMINGTON,NC,US,CITY,0,CASES
1927,30,WILMINGTON,NC,US,CITY,1,CASES
1927,48,WILMINGTON,NC,US,CITY,0,CASES
1927,52,WILMINGTON,NC,US,CITY,0,CASES
1928,10,WILMINGTON,NC,US,CITY,0,CASES
1928,16,WILMINGTON,NC,US,CITY,0,CASES
1928,23,WILMINGTON,NC,US,CITY,0,CASES
1928,26,WILMINGTON,NC,US,CITY,2,CASES
1928,48,WILMINGTON,NC,US,CITY,0,CASES
1928,52,WILMINGTON,NC,US,CITY,0,CASES
1929,7,WILMINGTON,NC,US,CITY,0,CASES
1929,8,WILMINGTON,NC,US,CITY,0,CASES
1929,9,WILMINGTON,NC,US,CITY,0,CASES
1929,11,WILMINGTON,NC,US,CITY,0,CASES
1929,12,WILMINGTON,NC,US,CITY,0,CASES
1929,18,WILMINGTON,NC,US,CITY,0,CASES
1929,19,WILMINGTON,NC,US,CITY,0,CASES
1929,20,WILMINGTON,NC,US,CITY,0,CASES
1929,25,WILMINGTON,NC,US,CITY,0,CASES
1929,27,WILMINGTON,NC,US,CITY,0,CASES
1929,28,WILMINGTON,NC,US,CITY,0,CASES
1929,40,WILMINGTON,NC,US,CITY,0,CASES
1929,41,WILMINGTON,NC,US,CITY,0,CASES
1929,42,WILMINGTON,NC,US,CITY,0,CASES
1929,43,WILMINGTON,NC,US,CITY,0,CASES
1929,44,WILMINGTON,NC,US,CITY,0,CASES
1929,47,WILMINGTON,NC,US,CITY,0,CASES
1929,50,WILMINGTON,NC,US,CITY,0,CASES
1930,9,WILMINGTON,NC,US,CITY,0,CASES
1930,10,WILMINGTON,NC,US,CITY,0,CASES
1930,11,WILMINGTON,NC,US,CITY,0,CASES
1930,14,WILMINGTON,NC,US,CITY,0,CASES
1930,16,WILMINGTON,NC,US,CITY,0,CASES
1930,19,WILMINGTON,NC,US,CITY,0,CASES
1930,20,WILMINGTON,NC,US,CITY,0,CASES
1930,25,WILMINGTON,NC,US,CITY,0,CASES
1930,27,WILMINGTON,NC,US,CITY,0,CASES
1930,28,WILMINGTON,NC,US,CITY,0,CASES
1930,30,WILMINGTON,NC,US,CITY,0,CASES
1930,32,WILMINGTON,NC,US,CITY,0,CASES
1930,35,WILMINGTON,NC,US,CITY,0,CASES
1930,36,WILMINGTON,NC,US,CITY,0,CASES
1930,41,WILMINGTON,NC,US,CITY,0,CASES
1930,52,WILMINGTON,NC,US,CITY,0,CASES
1931,4,WILMINGTON,NC,US,CITY,0,CASES
1931,7,WILMINGTON,NC,US,CITY,0,CASES
1931,15,WILMINGTON,NC,US,CITY,0,CASES
1931,18,WILMINGTON,NC,US,CITY,0,CASES
1931,21,WILMINGTON,NC,US,CITY,0,CASES
1931,22,WILMINGTON,NC,US,CITY,0,CASES
1931,24,WILMINGTON,NC,US,CITY,0,CASES
1931,25,WILMINGTON,NC,US,CITY,0,CASES
1931,27,WILMINGTON,NC,US,CITY,0,CASES
1931,29,WILMINGTON,NC,US,CITY,0,CASES
1931,30,WILMINGTON,NC,US,CITY,0,CASES
1931,34,WILMINGTON,NC,US,CITY,1,CASES
1931,35,WILMINGTON,NC,US,CITY,1,CASES
1931,46,WILMINGTON,NC,US,CITY,0,CASES
1932,8,WILMINGTON,NC,US,CITY,0,CASES
1932,14,WILMINGTON,NC,US,CITY,0,CASES
1932,17,WILMINGTON,NC,US,CITY,0,CASES
1932,22,WILMINGTON,NC,US,CITY,0,CASES
1932,28,WILMINGTON,NC,US,CITY,0,CASES
1932,31,WILMINGTON,NC,US,CITY,0,CASES
1933,3,WILMINGTON,NC,US,CITY,0,CASES
1933,49,WILMINGTON,NC,US,CITY,0,CASES
1934,28,WILMINGTON,NC,US,CITY,1,CASES
1934,45,WILMINGTON,NC,US,CITY,1,CASES
1935,9,WILMINGTON,NC,US,CITY,0,CASES
1935,27,WILMINGTON,NC,US,CITY,1,CASES
1935,34,WILMINGTON,NC,US,CITY,1,CASES
1935,51,WILMINGTON,NC,US,CITY,0,CASES
1935,52,WILMINGTON,NC,US,CITY,0,CASES
1936,14,WILMINGTON,NC,US,CITY,0,CASES
1936,15,WILMINGTON,NC,US,CITY,0,CASES
1936,16,WILMINGTON,NC,US,CITY,0,CASES
1936,18,WILMINGTON,NC,US,CITY,0,CASES
